registration_month,powertrain_group,registration_count
1953-04,combustion,3
1953-05,combustion,2
1953-06,combustion,7
1953-07,combustion,4
1953-08,combustion,5
1953-09,combustion,7
1953-10,combustion,9
1953-11,combustion,7
1953-12,combustion,6
1954-01,combustion,101
1954-02,combustion,4
1954-03,combustion,8
1954-04,combustion,6
1954-05,combustion,11
1954-06,combustion,15
1954-07,combustion,8
1954-08,combustion,4
1954-09,combustion,11
1954-10,combustion,18
1954-11,combustion,25
1954-12,combustion,18
1955-01,combustion,113
1955-02,combustion,12
1955-03,combustion,16
1955-04,combustion,14
1955-05,combustion,23
1955-06,combustion,15
1955-07,combustion,12
1955-08,combustion,9
1955-09,combustion,14
1955-10,combustion,13
1955-11,combustion,16
1955-12,combustion,28
1956-01,combustion,73
1956-02,combustion,17
1956-03,combustion,14
1956-04,combustion,14
1956-05,combustion,11
1956-06,combustion,15
1956-07,combustion,9
1956-08,combustion,11
1956-09,combustion,12
1956-10,combustion,16
1956-11,combustion,22
1956-12,combustion,13
1957-01,combustion,90
1957-02,combustion,9
1957-03,combustion,16
1957-04,combustion,15
1957-05,combustion,20
1957-06,combustion,27
1957-07,combustion,22
1957-08,combustion,13
1957-09,combustion,12
1957-09,bev,1
1957-10,combustion,11
1957-11,combustion,9
1957-12,combustion,18
1958-01,combustion,78
1958-02,combustion,12
1958-03,combustion,7
1958-04,combustion,11
1958-05,combustion,15
1958-06,combustion,7
1958-07,combustion,9
1958-08,combustion,7
1958-09,combustion,4
1958-10,combustion,11
1958-11,combustion,8
1958-12,combustion,18
1959-01,combustion,47
1959-02,combustion,3
1959-03,combustion,10
1959-04,combustion,5
1959-05,combustion,5
1959-06,combustion,8
1959-07,combustion,10
1959-08,combustion,11
1959-09,combustion,10
1959-10,combustion,6
1959-11,combustion,12
1959-12,combustion,19
1960-01,combustion,61
1960-02,combustion,4
1960-03,combustion,5
1960-04,combustion,11
1960-05,combustion,10
1960-06,combustion,15
1960-07,combustion,14
1960-08,combustion,13
1960-09,combustion,12
1960-10,combustion,16
1960-11,combustion,12
1960-12,combustion,10
1961-01,combustion,82
1961-02,combustion,15
1961-03,combustion,13
1961-04,combustion,18
1961-05,combustion,20
1961-06,combustion,15
1961-07,combustion,10
1961-08,combustion,21
1961-09,combustion,18
1961-10,combustion,17
1961-11,combustion,14
1961-12,combustion,18
1962-01,combustion,87
1962-02,combustion,17
1962-03,combustion,12
1962-04,combustion,20
1962-05,combustion,21
1962-06,combustion,16
1962-07,combustion,23
1962-08,combustion,20
1962-09,combustion,18
1962-10,combustion,20
1962-11,combustion,37
1962-12,combustion,29
1963-01,combustion,108
1963-02,combustion,14
1963-03,combustion,17
1963-04,combustion,11
1963-05,combustion,22
1963-06,combustion,21
1963-07,combustion,22
1963-08,combustion,30
1963-09,combustion,14
1963-10,combustion,37
1963-11,combustion,45
1963-12,combustion,43
1964-01,combustion,167
1964-02,combustion,26
1964-03,combustion,34
1964-04,combustion,22
1964-05,combustion,35
1964-06,combustion,40
1964-07,combustion,32
1964-08,combustion,30
1964-09,combustion,42
1964-10,combustion,33
1964-11,combustion,44
1964-12,combustion,31
1965-01,combustion,128
1965-02,combustion,31
1965-03,combustion,29
1965-04,combustion,13
1965-05,combustion,34
1965-06,combustion,36
1965-07,combustion,29
1965-08,combustion,29
1965-09,combustion,40
1965-10,combustion,43
1965-11,combustion,42
1965-12,combustion,47
1966-01,combustion,144
1966-01,bev,1
1966-02,combustion,33
1966-03,combustion,29
1966-04,combustion,30
1966-05,combustion,26
1966-06,combustion,38
1966-07,combustion,42
1966-08,combustion,32
1966-09,combustion,32
1966-10,combustion,33
1966-11,combustion,49
1966-12,combustion,38
1967-01,combustion,127
1967-02,combustion,42
1967-03,combustion,42
1967-04,combustion,32
1967-05,combustion,34
1967-06,combustion,59
1967-07,combustion,23
1967-08,combustion,35
1967-09,combustion,39
1967-10,combustion,31
1967-11,combustion,38
1967-12,combustion,39
1968-01,combustion,96
1968-02,combustion,36
1968-03,combustion,22
1968-04,combustion,14
1968-05,combustion,27
1968-06,combustion,25
1968-07,combustion,43
1968-08,combustion,32
1968-09,combustion,35
1968-10,combustion,34
1968-11,combustion,31
1968-12,combustion,25
1969-01,combustion,112
1969-02,combustion,33
1969-03,combustion,32
1969-04,combustion,24
1969-05,combustion,26
1969-06,combustion,23
1969-07,combustion,35
1969-08,combustion,28
1969-09,combustion,34
1969-10,combustion,29
1969-11,combustion,28
1969-12,combustion,38
1970-01,combustion,138
1970-02,combustion,34
1970-03,combustion,43
1970-04,combustion,45
1970-05,combustion,70
1970-06,combustion,41
1970-07,combustion,53
1970-08,combustion,51
1970-09,combustion,65
1970-10,combustion,65
1970-11,combustion,71
1970-12,combustion,46
1971-01,combustion,147
1971-02,combustion,46
1971-03,combustion,55
1971-04,combustion,53
1971-05,combustion,45
1971-06,combustion,36
1971-07,combustion,48
1971-08,combustion,35
1971-09,combustion,34
1971-10,combustion,56
1971-11,combustion,65
1971-12,combustion,76
1972-01,combustion,191
1972-02,combustion,53
1972-03,combustion,60
1972-04,combustion,49
1972-05,combustion,58
1972-06,combustion,55
1972-07,combustion,57
1972-08,combustion,60
1972-09,combustion,50
1972-10,combustion,70
1972-11,combustion,86
1972-12,combustion,86
1973-01,combustion,189
1973-02,combustion,68
1973-03,combustion,43
1973-04,combustion,54
1973-05,combustion,69
1973-06,combustion,54
1973-07,combustion,55
1973-08,combustion,43
1973-09,combustion,51
1973-10,combustion,60
1973-11,combustion,71
1973-12,combustion,63
1974-01,combustion,168
1974-02,combustion,74
1974-03,combustion,49
1974-04,combustion,62
1974-05,combustion,90
1974-06,combustion,77
1974-07,combustion,77
1974-08,combustion,72
1974-09,combustion,27
1974-10,combustion,42
1974-11,combustion,38
1974-12,combustion,59
1975-01,combustion,88
1975-01,bev,1
1975-02,combustion,43
1975-03,combustion,50
1975-04,combustion,46
1975-05,combustion,45
1975-06,combustion,47
1975-07,combustion,35
1975-08,combustion,48
1975-09,combustion,41
1975-10,combustion,47
1975-11,combustion,37
1975-12,combustion,31
1976-01,combustion,61
1976-02,combustion,23
1976-03,combustion,44
1976-04,combustion,28
1976-05,combustion,28
1976-06,combustion,34
1976-07,combustion,24
1976-08,combustion,22
1976-09,combustion,25
1976-10,combustion,37
1976-11,combustion,43
1976-12,combustion,64
1977-01,combustion,56
1977-02,combustion,33
1977-02,other_or_unknown,1
1977-03,combustion,39
1977-04,combustion,34
1977-05,combustion,37
1977-06,combustion,80
1977-07,combustion,31
1977-08,combustion,28
1977-09,combustion,28
1977-10,combustion,31
1977-11,combustion,29
1977-12,combustion,26
1978-01,combustion,44
1978-02,combustion,34
1978-03,combustion,25
1978-04,combustion,42
1978-05,combustion,36
1978-06,combustion,35
1978-07,combustion,36
1978-08,combustion,38
1978-09,combustion,38
1978-10,combustion,30
1978-11,combustion,47
1978-12,combustion,30
1979-01,combustion,66
1979-02,combustion,22
1979-03,combustion,39
1979-04,combustion,30
1979-05,combustion,31
1979-06,combustion,36
1979-06,other_or_unknown,1
1979-07,combustion,22
