registration_month,import_status_group,registration_count
1943-12,other_or_unknown,3
1944-01,other_or_unknown,2
1944-03,other_or_unknown,2
1944-04,other_or_unknown,1
1944-06,other_or_unknown,1
1944-07,other_or_unknown,1
1944-09,other_or_unknown,1
1944-11,other_or_unknown,1
1945-01,other_or_unknown,4
1945-06,other_or_unknown,1
1945-07,other_or_unknown,1
1945-08,other_or_unknown,1
1945-09,other_or_unknown,1
1945-11,other_or_unknown,2
1945-12,other_or_unknown,1
1946-01,other_or_unknown,37
1946-02,other_or_unknown,2
1946-03,other_or_unknown,1
1946-04,other_or_unknown,1
1946-05,other_or_unknown,3
1946-06,other_or_unknown,3
1946-08,other_or_unknown,4
1946-09,other_or_unknown,2
1946-10,other_or_unknown,3
1946-11,other_or_unknown,4
1946-12,other_or_unknown,5
1947-01,other_or_unknown,36
1947-02,other_or_unknown,6
1947-03,other_or_unknown,4
1947-04,other_or_unknown,5
1947-05,other_or_unknown,1
1947-06,other_or_unknown,7
1947-07,other_or_unknown,2
1947-08,other_or_unknown,4
1947-09,other_or_unknown,6
1947-10,other_or_unknown,8
1947-10,nz_new,1
1947-11,other_or_unknown,6
1947-11,nz_new,1
1947-12,other_or_unknown,3
1948-01,other_or_unknown,44
1948-02,other_or_unknown,4
1948-03,other_or_unknown,6
1948-03,nz_new,1
1948-04,other_or_unknown,6
1948-05,other_or_unknown,4
1948-06,other_or_unknown,7
1948-07,other_or_unknown,6
1948-07,nz_new,2
1948-08,other_or_unknown,2
1948-09,other_or_unknown,3
1948-10,other_or_unknown,5
1948-11,other_or_unknown,5
1948-12,other_or_unknown,2
1949-01,other_or_unknown,36
1949-02,other_or_unknown,1
1949-03,other_or_unknown,5
1949-04,other_or_unknown,2
1949-05,other_or_unknown,3
1949-06,other_or_unknown,4
1949-07,other_or_unknown,3
1949-07,nz_new,1
1949-08,other_or_unknown,3
1949-08,nz_new,1
1949-09,other_or_unknown,3
1949-10,other_or_unknown,4
1949-11,other_or_unknown,1
1949-12,other_or_unknown,1
1950-01,other_or_unknown,29
1950-02,other_or_unknown,2
1950-03,other_or_unknown,3
1950-04,other_or_unknown,1
1950-05,other_or_unknown,3
1950-06,other_or_unknown,6
1950-07,other_or_unknown,1
1950-08,other_or_unknown,4
1950-08,nz_new,1
1950-09,other_or_unknown,4
1950-10,other_or_unknown,3
1950-10,nz_new,1
1950-11,other_or_unknown,7
1950-12,other_or_unknown,5
1951-01,other_or_unknown,60
1951-02,other_or_unknown,3
1951-03,other_or_unknown,3
1951-04,other_or_unknown,4
1951-05,other_or_unknown,12
1951-06,other_or_unknown,8
1951-06,nz_new,1
1951-07,other_or_unknown,8
1951-08,other_or_unknown,2
1951-08,nz_new,1
1951-09,other_or_unknown,8
1951-10,other_or_unknown,10
1951-11,other_or_unknown,11
1951-12,other_or_unknown,7
1952-01,other_or_unknown,92
1952-01,nz_new,1
1952-02,other_or_unknown,14
1952-02,nz_new,1
1952-03,other_or_unknown,8
1952-04,other_or_unknown,14
1952-04,nz_new,1
1952-05,other_or_unknown,10
1952-05,nz_new,1
1952-06,other_or_unknown,9
1952-07,other_or_unknown,7
1952-08,other_or_unknown,9
1952-08,nz_new,1
1952-09,other_or_unknown,5
1952-10,other_or_unknown,6
1952-11,other_or_unknown,4
1952-12,other_or_unknown,6
1953-01,other_or_unknown,45
1953-01,nz_new,1
1953-02,other_or_unknown,5
1953-03,nz_new,2
1953-03,other_or_unknown,2
1953-04,other_or_unknown,3
1953-05,other_or_unknown,2
1953-06,other_or_unknown,7
1953-07,other_or_unknown,3
1953-07,nz_new,1
1953-08,other_or_unknown,5
1953-09,other_or_unknown,6
1953-09,nz_new,1
1953-10,other_or_unknown,8
1953-10,nz_new,1
1953-11,other_or_unknown,7
1953-12,other_or_unknown,6
1954-01,other_or_unknown,99
1954-01,nz_new,2
1954-02,other_or_unknown,4
1954-03,other_or_unknown,8
1954-04,other_or_unknown,5
1954-04,nz_new,1
1954-05,other_or_unknown,11
1954-06,other_or_unknown,13
1954-06,nz_new,2
1954-07,other_or_unknown,7
1954-07,nz_new,1
1954-08,other_or_unknown,4
1954-09,other_or_unknown,11
1954-10,other_or_unknown,18
1954-11,other_or_unknown,23
1954-11,nz_new,2
1954-12,other_or_unknown,17
1954-12,nz_new,1
1955-01,other_or_unknown,112
1955-01,nz_new,1
1955-02,other_or_unknown,12
1955-03,other_or_unknown,16
1955-04,other_or_unknown,14
1955-05,other_or_unknown,23
1955-06,other_or_unknown,14
1955-06,nz_new,1
1955-07,other_or_unknown,12
1955-08,other_or_unknown,9
1955-09,other_or_unknown,14
1955-10,other_or_unknown,12
1955-10,nz_new,1
1955-11,other_or_unknown,15
1955-11,nz_new,1
1955-12,other_or_unknown,27
1955-12,nz_new,1
1956-01,other_or_unknown,71
1956-01,nz_new,2
1956-02,other_or_unknown,17
1956-03,other_or_unknown,13
1956-03,nz_new,1
1956-04,other_or_unknown,13
1956-04,nz_new,1
1956-05,other_or_unknown,11
1956-06,other_or_unknown,14
1956-06,nz_new,1
1956-07,other_or_unknown,9
1956-08,other_or_unknown,11
1956-09,other_or_unknown,12
1956-10,other_or_unknown,16
1956-11,other_or_unknown,22
1956-12,other_or_unknown,12
1956-12,nz_new,1
1957-01,other_or_unknown,90
1957-02,other_or_unknown,8
1957-02,nz_new,1
1957-03,other_or_unknown,15
1957-03,nz_new,1
1957-04,other_or_unknown,15
1957-05,other_or_unknown,19
1957-05,nz_new,1
1957-06,other_or_unknown,25
1957-06,nz_new,2
1957-07,other_or_unknown,22
1957-08,other_or_unknown,12
1957-08,nz_new,1
1957-09,other_or_unknown,13
1957-10,other_or_unknown,10
1957-10,nz_new,1
1957-11,other_or_unknown,9
1957-12,other_or_unknown,18
1958-01,other_or_unknown,78
1958-02,other_or_unknown,11
1958-02,nz_new,1
1958-03,other_or_unknown,6
1958-03,nz_new,1
1958-04,other_or_unknown,11
1958-05,other_or_unknown,15
1958-06,other_or_unknown,7
1958-07,other_or_unknown,7
1958-07,nz_new,2
1958-08,other_or_unknown,7
1958-09,other_or_unknown,3
1958-09,nz_new,1
1958-10,other_or_unknown,11
1958-11,other_or_unknown,7
1958-11,nz_new,1
1958-12,other_or_unknown,15
1958-12,nz_new,3
1959-01,other_or_unknown,45
1959-01,nz_new,2
1959-02,other_or_unknown,3
1959-03,other_or_unknown,10
1959-04,other_or_unknown,5
1959-05,other_or_unknown,5
1959-06,other_or_unknown,6
1959-06,nz_new,2
1959-07,other_or_unknown,9
1959-07,nz_new,1
1959-08,other_or_unknown,11
1959-09,other_or_unknown,10
1959-10,other_or_unknown,6
1959-11,other_or_unknown,11
1959-11,nz_new,1
1959-12,other_or_unknown,18
1959-12,nz_new,1
1960-01,other_or_unknown,60
1960-01,nz_new,1
1960-02,other_or_unknown,4
1960-03,other_or_unknown,5
1960-04,other_or_unknown,10
1960-04,nz_new,1
1960-05,other_or_unknown,9
1960-05,nz_new,1
1960-06,other_or_unknown,13
1960-06,nz_new,2
1960-07,other_or_unknown,14
1960-08,other_or_unknown,11
1960-08,nz_new,2
1960-09,other_or_unknown,11
1960-09,nz_new,1
1960-10,other_or_unknown,15
1960-10,nz_new,1
1960-11,other_or_unknown,11
1960-11,nz_new,1
1960-12,other_or_unknown,8
1960-12,nz_new,2
1961-01,other_or_unknown,80
1961-01,nz_new,2
1961-02,other_or_unknown,13
1961-02,nz_new,2
1961-03,other_or_unknown,12
1961-03,nz_new,1
1961-04,other_or_unknown,16
1961-04,nz_new,2
1961-05,other_or_unknown,18
1961-05,nz_new,2
1961-06,other_or_unknown,15
1961-07,other_or_unknown,9
1961-07,nz_new,1
1961-08,other_or_unknown,21
1961-09,other_or_unknown,16
1961-09,nz_new,2
1961-10,other_or_unknown,17
1961-11,other_or_unknown,13
1961-11,nz_new,1
1961-12,other_or_unknown,17
1961-12,nz_new,1
1962-01,other_or_unknown,87
1962-02,other_or_unknown,16
1962-02,nz_new,1
1962-03,other_or_unknown,12
1962-04,other_or_unknown,20
1962-05,other_or_unknown,21
1962-06,other_or_unknown,14
1962-06,nz_new,2
1962-07,other_or_unknown,22
1962-07,nz_new,1
1962-08,other_or_unknown,18
1962-08,nz_new,2
1962-09,other_or_unknown,17
1962-09,nz_new,1
1962-10,other_or_unknown,20
1962-11,other_or_unknown,36
1962-11,nz_new,1
1962-12,other_or_unknown,29
1963-01,other_or_unknown,108
1963-02,other_or_unknown,14
1963-03,other_or_unknown,17
1963-04,other_or_unknown,11
1963-05,other_or_unknown,22
1963-06,other_or_unknown,21
1963-07,other_or_unknown,20
1963-07,nz_new,2
1963-08,other_or_unknown,28
1963-08,nz_new,2
1963-09,other_or_unknown,13
1963-09,nz_new,1
1963-10,other_or_unknown,35
1963-10,nz_new,2
1963-11,other_or_unknown,42
1963-11,nz_new,3
1963-12,other_or_unknown,41
1963-12,nz_new,2
1964-01,other_or_unknown,166
1964-01,nz_new,1
1964-02,other_or_unknown,26
1964-03,other_or_unknown,33
1964-03,nz_new,1
1964-04,other_or_unknown,20
1964-04,nz_new,2
1964-05,other_or_unknown,35
1964-06,other_or_unknown,34
1964-06,nz_new,6
1964-07,other_or_unknown,30
1964-07,nz_new,2
1964-08,other_or_unknown,27
1964-08,nz_new,3
1964-09,other_or_unknown,41
1964-09,nz_new,1
1964-10,other_or_unknown,29
1964-10,nz_new,3
1964-10,used_import,1
1964-11,other_or_unknown,41
1964-11,nz_new,3
1964-12,other_or_unknown,30
1964-12,nz_new,1
1965-01,other_or_unknown,123
1965-01,nz_new,5
1965-02,other_or_unknown,29
1965-02,nz_new,2
1965-03,other_or_unknown,28
1965-03,nz_new,1
1965-04,other_or_unknown,13
1965-05,other_or_unknown,32
1965-05,nz_new,2
1965-06,other_or_unknown,33
1965-06,nz_new,3
1965-07,other_or_unknown,29
1965-08,other_or_unknown,26
1965-08,nz_new,3
1965-09,other_or_unknown,32
1965-09,nz_new,7
1965-09,used_import,1
1965-10,other_or_unknown,42
1965-10,nz_new,1
1965-11,other_or_unknown,40
1965-11,nz_new,2
1965-12,other_or_unknown,45
1965-12,nz_new,2
1966-01,other_or_unknown,140
1966-01,nz_new,5
1966-02,other_or_unknown,26
1966-02,nz_new,7
1966-03,other_or_unknown,29
1966-04,other_or_unknown,29
1966-04,nz_new,1
1966-05,other_or_unknown,25
1966-05,nz_new,1
1966-06,other_or_unknown,36
1966-06,nz_new,2
1966-07,other_or_unknown,41
1966-07,nz_new,1
1966-08,other_or_unknown,27
1966-08,nz_new,5
1966-09,other_or_unknown,31
1966-09,nz_new,1
1966-10,other_or_unknown,33
1966-11,other_or_unknown,44
1966-11,nz_new,5
1966-12,other_or_unknown,37
1966-12,nz_new,1
1967-01,other_or_unknown,126
1967-01,nz_new,1
1967-02,other_or_unknown,38
1967-02,nz_new,4
1967-03,other_or_unknown,39
1967-03,nz_new,3
1967-04,other_or_unknown,30
1967-04,nz_new,2
1967-05,other_or_unknown,32
1967-05,nz_new,2
1967-06,other_or_unknown,55
1967-06,nz_new,4
1967-07,other_or_unknown,23
1967-08,other_or_unknown,32
1967-08,nz_new,3
1967-09,other_or_unknown,34
1967-09,nz_new,5
1967-10,other_or_unknown,30
